xi,H_um
0.68046,9.6696
0.68103,9.6696
0.68161,9.6696
0.68219,9.6696
0.68277,9.6696
0.68334,9.6909
0.68392,9.6909
0.68450,9.6909
0.68508,9.6909
0.68565,9.6909
0.68623,9.6909
0.68681,9.6909
0.68739,9.6909
0.68796,9.6909
0.68854,9.6909
0.68912,9.6909
0.68970,9.6909
0.69027,9.6909
0.69085,9.6909
0.69143,9.7123
0.69201,9.7123
0.69258,9.7123
0.69316,9.7123
0.69374,9.7123
0.69432,9.7123
0.69489,9.7123
0.69547,9.7123
0.69605,9.7123
0.69663,9.7123
0.69720,9.7123
0.69778,9.7123
0.69836,9.7123
0.69894,9.7123
0.69951,9.7337
0.70009,9.7337
0.70067,9.7337
0.70125,9.7337
0.70182,9.7337
0.70240,9.7337
0.70298,9.7337
0.70356,9.7337
0.70413,9.7337
0.70471,9.7337
0.70529,9.7550
0.70586,9.7550
0.70644,9.7550
0.70702,9.7550
0.70760,9.7550
0.70817,9.7550
0.70875,9.7550
0.70933,9.7550
0.70991,9.7550
0.71048,9.7550
0.71106,9.7550
0.71164,9.7550
0.71222,9.7764
0.71279,9.7764
0.71337,9.7764
0.71395,9.7764
0.71453,9.7764
0.71510,9.7764
0.71568,9.7764
0.71626,9.7764
0.71684,9.7764
0.71741,9.7764
0.71799,9.7764
0.71857,9.7764
0.71915,9.7764
0.71972,9.7764
0.72030,9.7978
0.72088,9.7978
0.72146,9.7978
0.72203,9.7978
0.72261,9.8191
0.72319,9.8191
0.72377,9.8191
0.72434,9.8191
0.72492,9.9046
0.72550,9.9046
0.72608,9.8619
0.72665,9.8619
0.72723,9.8191
0.72781,9.8191
0.72839,9.8191
0.72896,9.8191
0.72954,10.0114
0.73012,10.0114
0.73070,10.0328
0.73127,10.0328
0.73185,10.0328
0.73243,10.0328
0.73301,10.0328
0.73358,10.0328
0.73416,10.0328
0.73474,10.0328
0.73532,10.0328
0.73589,10.0328
0.73647,10.0328
0.73705,10.0328
0.73763,10.0328
0.73820,10.0328
0.73878,10.0328
0.73936,10.0328
0.73994,10.0328
0.74051,10.0328
0.74109,10.0328
0.74167,10.0328
0.74225,10.0328
0.74282,10.0328
0.74340,10.0328
0.74398,10.0328
0.74455,10.0328
0.74513,10.0328
0.74571,10.0328
0.74629,10.0328
0.74686,9.8191
0.74744,9.8191
0.74802,9.8405
0.74860,9.8405
0.74917,9.8619
0.74975,9.8619
0.75033,9.9046
0.75091,9.9046
0.75148,9.9046
0.75206,9.9046
0.75264,9.9046
0.75322,9.9046
0.75379,9.9046
0.75437,9.9046
0.75495,9.9046
0.75553,9.9046
0.75610,9.9046
0.75668,9.9046
0.75726,9.9260
0.75784,9.9260
0.75841,9.9260
0.75899,9.9260
0.75957,9.9260
0.76015,9.9260
0.76072,9.9473
0.76130,9.9473
0.76188,9.9473
0.76246,9.9473
0.76303,9.9473
0.76361,9.9473
0.76419,9.9473
0.76477,9.9473
0.76534,9.9473
0.76592,9.9473
0.76650,9.9687
0.76708,9.9687
0.76765,9.9687
0.76823,9.9687
0.76881,9.9687
0.76939,9.9687
0.76996,9.9687
0.77054,9.9687
0.77112,9.9901
0.77170,9.9901
0.77227,9.9901
0.77285,9.9901
0.77343,9.9901
0.77401,9.9901
0.77458,9.9901
0.77516,9.9901
0.77574,9.9901
0.77632,9.9901
0.77689,10.0114
0.77747,10.0114
0.77805,10.0114
0.77863,10.0114
0.77920,10.0114
0.77978,10.0114
0.78036,10.0114
0.78093,10.0114
0.78151,10.0114
0.78209,10.0114
0.78267,10.0328
0.78324,10.0328
0.78382,10.0328
0.78440,10.0328
0.78498,10.0328
0.78555,10.0328
0.78613,10.0328
0.78671,10.0328
0.78729,10.0328
0.78786,10.0328
0.78844,10.0542
0.78902,10.0542
0.78960,10.0755
0.79017,10.0755
0.79075,10.0755
0.79133,10.0755
0.79191,10.0755
0.79248,10.0755
0.79306,10.0755
0.79364,10.0755
0.79422,10.0755
0.79479,10.0755
0.79537,10.0969
0.79595,10.0969
0.79653,10.0969
0.79710,10.0969
0.79768,10.0969
0.79826,10.0969
0.79884,10.1183
0.79941,10.1183
0.79999,10.1183
0.80057,10.1183
0.80115,10.1183
0.80172,10.1183
0.80230,10.1183
0.80288,10.1183
